InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName
14_BROMWICH_8200,14,8200,Chambord Liqueur de France,50mL,1,2.99,2.99,2024-01-16,50.0,1,0.05,1128,BROWN-FORMAN CORP          
69_MOUNTMEND_21019,69,21019,Black Box Pnt Nr,3L,1,18.99,18.99,2024-04-07,3000.0,2,0.45,1392,CONSTELLATION BRANDS INC   
69_MOUNTMEND_7143,69,7143,Smirnoff Watermelon Vodka,1.75L,1,19.99,19.99,2024-07-28,1750.0,1,1.84,3960,DIAGEO NORTH AMERICA INC   
19_WINTERVALE_6590,19,6590,Almaden B/B Wh Znfdl Cal,5L,2,29.98,14.99,2024-07-01,5000.0,2,1.5,9815,WINE GROUP INC             
53_HILLFAR_34133,53,34133,Turning Leaf RSV Cab Svgn,1.5L,1,9.99,9.99,2024-05-14,1500.0,2,0.22,3252,E & J GALLO WINERY         
73_DONCASTER_26091,73,26091,Pacific Rim Rsl,750mL,1,8.99,8.99,2024-08-26,750.0,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP 
66_EANVERNESS_3768,66,3768,Jenkins Vodka,750mL,2,11.98,5.99,2024-07-05,750.0,1,1.57,9552,M S WALKER INC             
10_HORNSEY_1375,10,1375,Jim Beam,750mL,2,29.98,14.99,2024-11-30,750.0,1,1.57,12546,JIM BEAM BRANDS COMPANY    
34_PITMERDEN_8421,34,8421,Beringer Classic Wh Znfdl,750mL,1,5.65,5.65,2024-09-12,750.0,2,0.11,9819,TREASURY WINE ESTATES      
42_BLACK HOLLOW_25202,42,25202,Rosenblum R Sauret Zinfandel,750mL,1,11.99,11.99,2024-08-14,750.0,2,0.11,1590,DIAGEO CHATEAU ESTATE WINES
10_HORNSEY_1634,10,1634,The Famous Grouse,1.75L,1,27.99,27.99,2024-08-02,1750.0,1,1.84,2561,EDRINGTON AMERICAS         
34_PITMERDEN_28214,34,28214,Lagaria Venezie Pnt Grigio,750mL,1,11.99,11.99,2024-02-19,750.0,2,0.11,4425,MARTIGNETTI COMPANIES
66_EANVERNESS_7891,66,7891,DeLeon Platinum Tequila,750mL,1,34.99,34.99,2024-12-31,750.0,1,0.79,3960,DIAGEO NORTH AMERICA INC   
63_SWORDBREAK_3876,63,3876,Smirnoff 80 Proof,1.75L,4,79.96,19.99,2024-07-01,1750.0,1,7.35,3960,DIAGEO NORTH AMERICA INC   
20_BREDWARDINE_2127,20,2127,Canadian Ltd,1.75L,5,52.45,10.49,2024-09-24,1750.0,1,9.19,660,SAZERAC NORTH AMERICA INC. 
73_DONCASTER_4198,73,4198,Sailor Jerry Spiced Navy Rum,1.75L,2,49.98,24.99,2024-07-25,1750.0,1,3.67,3664,WILLIAM GRANT & SONS INC   
66_EANVERNESS_8097,66,8097,Patron Citronge Orange,375mL,1,13.99,13.99,2024-01-17,375.0,1,0.39,9165,ULTRA BEVERAGE COMPANY LLP 
73_DONCASTER_8085,73,8085,Wild Turkey,1.75L,1,35.99,35.99,2024-08-27,1750.0,1,1.84,11567,CAMPARI AMERICA            
36_LEWES_2585,36,2585,Jameson Irish Whiskey,750mL,12,275.88,22.99,2024-07-13,750.0,1,9.45,17035,PERNOD RICARD USA          
39_EASTHALLOW_6479,39,6479,Clos du Bois Chard,750mL,13,116.87,8.99,2024-07-22,750.0,2,1.46,1392,CONSTELLATION BRANDS INC   
72_HARDERSFIELD_1770,72,1770,Jack Daniels Tennessee Fire,1.75L,3,113.97,37.99,2024-08-23,1750.0,1,5.51,1128,BROWN-FORMAN CORP          
38_GOULCREST_4204,38,4204,Bacardi Coco Rum,750mL,1,11.99,11.99,2024-02-28,750.0,1,0.79,480,BACARDI USA INC            
6_GOULCREST_6995,6,6995,Carlo Rossi Spanada Sangria,1.5L,1,6.99,6.99,2024-08-09,1500.0,2,0.22,3252,E & J GALLO WINERY         
50_MOUNTMEND_21334,50,21334,Ilauri Prosecco Extra Dry,750mL,1,12.99,12.99,2024-11-21,750.0,2,0.11,7255,PSP WINES 
76_DONCASTER_23886,76,23886,Cycles Gladiator Chard,750mL,1,10.99,10.99,2024-06-04,750.0,2,0.11,10754,PERFECTA WINES             
21_BALERNO_36380,21,36380,Sebastiani Znfdl Sonoma Cnty,750mL,13,129.87,9.99,2024-01-30,750.0,2,1.46,4425,MARTIGNETTI COMPANIES
77_TAMWORTH_6115,77,6115,Midnight Moon Raspberry,750mL,1,19.99,19.99,2024-03-13,750.0,1,0.79,9165,ULTRA BEVERAGE COMPANY LLP 
76_DONCASTER_8448,76,8448,Cruzan Aged Dark Rum,750mL,3,29.97,9.99,2024-08-04,750.0,1,2.36,12546,JIM BEAM BRANDS COMPANY    
1_HARDERSFIELD_21329,1,21329,Masi Campofiorin,750mL,1,17.99,17.99,2024-09-14,750.0,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP 
38_GOULCREST_24771,38,24771,Les Darons Lang J Carrel Rou,750mL,1,12.99,12.99,2024-06-23,750.0,2,0.11,10754,PERFECTA WINES             
68_SOLARIS_42413,68,42413,R M Woodbridge Rsl,1.5L,2,19.98,9.99,2024-04-24,1500.0,2,0.45,1392,CONSTELLATION BRANDS INC   
20_BREDWARDINE_29192,20,29192,Perrin Chtnf du Pape,750mL,4,147.96,36.99,2024-02-14,750.0,2,0.45,1587,VINEYARD BRANDS INC        
67_EANVERNESS_2619,67,2619,Glenmorangie Original 10 Yr,1.75L,1,64.99,64.99,2024-09-30,1750.0,1,1.84,8112,MOET HENNESSY USA INC      
1_HARDERSFIELD_3351,1,3351,Pinnacle Whipped Vodka,1.75L,4,67.96,16.99,2024-09-16,1750.0,1,7.35,12546,JIM BEAM BRANDS COMPANY    
66_EANVERNESS_16794,66,16794,Freakshow Cab Svgn,750mL,1,18.99,18.99,2024-02-07,750.0,2,0.11,4425,MARTIGNETTI COMPANIES
10_HORNSEY_7198,10,7198,New Amsterdam Pineapple Vdka,750mL,2,19.98,9.99,2024-06-10,750.0,1,1.57,3252,E & J GALLO WINERY         
13_TARMSWORTH_5399,13,5399,Goldschlager Cinnamon Schna,50mL,2,3.98,1.99,2024-07-31,50.0,1,0.1,3960,DIAGEO NORTH AMERICA INC   
60_IRRAGIN_16431,60,16431,HandCraft Artisan Coll Cab S,750mL,1,8.99,8.99,2024-03-17,750.0,2,0.11,2242,DELICATO VINEYARDS INC     
42_BLACK HOLLOW_41072,42,41072,Angeline Pnt Nr Rsv,750mL,1,13.99,13.99,2024-02-05,750.0,2,0.11,9552,M S WALKER INC             
73_DONCASTER_25578,73,25578,Parducci 13 True Grit Chard,750mL,11,142.89,12.99,2024-11-05,750.0,2,1.24,9552,M S WALKER INC             
18_FURNESS_40193,18,40193,Mark West Chard Sonoma Cnty,750mL,1,7.49,7.49,2024-05-18,750.0,2,0.11,1392,CONSTELLATION BRANDS INC   
52_GRAYCOTT_5445,52,5445,Jagermeister Liqueur,750mL,1,15.99,15.99,2024-01-04,750.0,1,0.79,3089,SIDNEY FRANK IMPORTING CO  
72_HARDERSFIELD_8819,72,8819,Leroux Blackberry Brandy,750mL,2,15.98,7.99,2024-06-07,750.0,1,1.57,12546,JIM BEAM BRANDS COMPANY    
41_LARNWICK_19260,41,19260,The Beach House Pinot Grigio,750mL,1,11.99,11.99,2024-10-28,750.0,2,0.11,653,STATE WINE & SPIRITS   
31_HORNSEY_5111,31,5111,Dr McGillicuddy's Mentholmnt,50mL,11,10.89,0.99,2024-05-08,50.0,1,0.58,8004,SAZERAC CO INC             
